term_id,name,slug,count,description
1441,"ΣΑΜΠΑΝΙ - ΣΑΜΠΑΝΙ",%cf%83%ce%b1%ce%bc%cf%80%ce%b1%ce%bd%ce%b9-%cf%83%ce%b1%ce%bc%cf%80%ce%b1%ce%bd%ce%b9,0,
1266,"ΣΑΠΙΟ ΜΗΛΟ",%cf%83%ce%b1%cf%80%ce%b9%ce%bf-%ce%bc%ce%b7%ce%bb%ce%bf,18,
2472,Σημύδα,%cf%83%ce%b7%ce%bc%cf%8d%ce%b4%ce%b1,1,
1548,Σιέλ,%cf%83%ce%b9%ce%ad%ce%bb,2,
1346,ΣΜΑΡΑΓΔΙ,%cf%83%ce%bc%ce%b1%cf%81%ce%b1%ce%b3%ce%b4%ce%b9,0,
1375,ΣΟΚΟΛΑ,%cf%83%ce%bf%ce%ba%ce%bf%ce%bb%ce%b1,0,
1384,ΣΟΜΟΝ,%cf%83%ce%bf%ce%bc%ce%bf%ce%bd,11,
1423,"ΣΟΜΟΝ - ΜΠΕΖ",%cf%83%ce%bf%ce%bc%ce%bf%ce%bd-%ce%bc%cf%80%ce%b5%ce%b6,0,
1464,"ΣΟΜΟΝ - ΜΩΒ - ΠΡΑΣΙΝΟ",%cf%83%ce%bf%ce%bc%ce%bf%ce%bd-%ce%bc%cf%89%ce%b2-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1454,"ΣΟΜΟΝ - ΠΡΑΣΙΝΟ",%cf%83%ce%bf%ce%bc%ce%bf%ce%bd-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1449,"ΣΟΜΟΝ ΜΠΟΡΝΤΩ - ΠΡΑΣΙΝΟ",%cf%83%ce%bf%ce%bc%ce%bf%ce%bd-%ce%bc%cf%80%ce%bf%cf%81%ce%bd%cf%84%cf%89-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1552,Σταχτί,%cf%83%cf%84%ce%b1%cf%87%cf%84%ce%af,3,
1188,Σφενδάμι,maple,0,
2222,Ταμπά,%cf%84%ce%b1%ce%bc%cf%80%ce%ac,2,
2571,Τερακότα,%cf%84%ce%b5%cf%81%ce%b1%ce%ba%cf%8c%cf%84%ce%b1,2,
1554,Τιρκουάζ,%cf%84%ce%b9%cf%81%ce%ba%ce%bf%cf%85%ce%ac%ce%b6,3,
1394,"ΤΙΡΚΟΥΑΖ - ΜΩΒ",%cf%84%ce%b9%cf%81%ce%ba%ce%bf%cf%85%ce%b1%ce%b6-%ce%bc%cf%89%ce%b2,0,
1185,Τσιμέντο,cement,38,
1189,Τυρκουάζ,teal,50,
1385,ΦΟΥΞΙΑ,%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1,0,
1457,"ΦΟΥΞΙΑ - ΠΡΑΣΙΝΟ",%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1400,"ΦΟΥΞΙΑ - ΡΟΖ",%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1-%cf%81%ce%bf%ce%b6,0,
1559,Φυστικί,%cf%86%cf%85%cf%83%cf%84%ce%b9%ce%ba%ce%af,19,
1290,"ΧΑΚΙ - ΜΠΕΖ",%cf%87%ce%b1%ce%ba%ce%b9-%ce%bc%cf%80%ce%b5%ce%b6,0,
1257,"ΧΑΚΙ ASTI 28",%cf%87%ce%b1%ce%ba%ce%b9-asti-28,0,
1561,Χάλκινο,%cf%87%ce%ac%ce%bb%ce%ba%ce%b9%ce%bd%ce%bf,19,
1186,Χρυσό,gold,944,
1540,Χρωμίου,%cf%87%cf%81%cf%89%ce%bc%ce%af%ce%bf%cf%85,1,
1179,CASTILLO-TORO,castillo-toro,0,
1174,Ανθρακί,anthracite,124,
1181,Ασημί,silver,411,
1165,Βέγκε,wenge,16,
1173,Γκρι,grey,1016,
1183,Διάφανο,transparent,6,
1182,Καρυδί,walnut,167,
1184,Καφέ,brown,688,
1175,Κίτρινο,yellow,109,
1169,Κόκκινο,red,214,
1167,Λευκό,white,1829,
1168,Μαύρο,black,2191,
1176,Μπεζ,beige,1119,
1170,Μπλε,blue,209,
1177,Μωβ,purple,81,
1180,Πολύχρωμο,multicolor,352,
1171,Πορτοκαλί,orange,228,
1172,Πράσινο,green,746,
1178,Ροζ,pink,164,
1164,Σονόμα,sonoma,67,
1166,Φυσικό,natural,1501,
